name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier
CLARITHROMYCIN,,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,65.0,62.0,54.0,61.0,53.0,40.0,43.0,silver
BENSERAZIDE,,Low,Clinical Candidate,chembl_ml_predicted,0,2,0,0,68.0,64.0,54.0,57.0,55.0,41.0,43.0,silver
BROMOCRIPTINE MESYLATE,,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,66.0,64.0,56.0,60.0,53.0,40.0,41.0,silver
FLUDROCORTISONE ACETATE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,64.0,62.0,55.0,57.0,56.0,42.0,42.0,silver
CABERGOLINE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,63.0,63.0,56.0,59.0,54.0,42.0,42.0,silver
MELEVODOPA,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,2,0,0,65.0,62.0,52.0,54.0,55.0,42.0,43.0,silver
DEXETIMIDE,,Medium,Clinical Candidate,chembl_ml_predicted,0,2,0,0,72.0,65.0,62.0,59.0,56.0,48.0,50.0,silver
PARDOPRUNOX,,Medium,Clinical Candidate,chembl_ml_predicted,0,2,0,0,67.0,63.0,60.0,57.0,58.0,47.0,55.0,silver
GLYCEROL PHENYLBUTYRATE,,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,70.0,65.0,54.0,57.0,55.0,41.0,45.0,silver
TOZADENANT,,Medium,Clinical Candidate,chembl_ml_predicted,0,2,0,0,64.0,63.0,51.0,58.0,54.0,40.0,42.0,silver
IPRATROPIUM BROMIDE,,High,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,62.0,61.0,54.0,62.0,54.0,42.0,43.0,silver
ATROPINE SULFATE,,High,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,61.0,59.0,54.0,61.0,54.0,41.0,42.0,silver
NABILONE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,66.0,65.0,52.0,59.0,56.0,41.0,44.0,silver
PHENYTOIN,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,77.0,73.0,64.0,63.0,76.0,58.0,69.0,silver
